questions,category
"On mini pill.  35 day cycle of last menstrual period.  4 day menstruation.  2 days after bleeding ended feel like i'm ovulating, ache in lower right.",Specific Health Conditions and Diseases
Please advise if it's normal or okay if i'm cramping during my fertile days ?,Lifestyle and Health
Please recommend the best beer to prevent hangover?,Lifestyle and Health
Please tell me what is adrenal disease and what causes these?,Specific Health Conditions and Diseases
"Posterior vitreous detachments eye-p.v.d., what is this?",Diagnosis Explanation
Radiologist read my pelvic CT scan incorrectly I went in to ER for very bad pelvic pain and back aches. They ordered a no contrast CT scan of pelvis. The first CT scan report read right ovary is larger than left (i don't have a left) with somewhat heterog,Diagnosis Explanation
Should I use a cream of benzoyl peroxide or a soap?,Medication Information
"Sir, my mom and i are unsure if i have herpes or a cold sore any suggestions??",Diagnosis Explanation
"Sometimes I dream when I am sleeping, but I am awake, and know I am, but dreaming too. Kinda like hallucinating. What causes this? How can I stop it?",Specific Health Conditions and Diseases
Still have a dry non productive cough nose stuffed but no fever and occasional headaches what should I do?,Specific Health Conditions and Diseases
"Stroke at 90 . At this stage, would a speech therapy help her?",Treatment Details
Well groups of people should not take aromasin (exemestane)?,Medication Information
What are the best remedies you know for treating a cold sore quickly without scarring?,Treatment Details
"What are the chances I will eventually get symptoms caused by my wpw? Left ventricular connection. Asymptomatic, diagnosed during a medical. Age20 male",Specific Health Conditions and Diseases
What are the treatment options for frequent urination?,Treatment Details
What can cause me to be lightheaded/dizzy?,Specific Health Conditions and Diseases
"What can I eat before my colonoscopy? They told me clear liquids, but what does that mean? Coffee?s not clear, but they said i can have that. What about orange juice or soda?",Treatment Details
What can someone do for heart disease?,Preventive Medicine
What causes a 17 year old girl to experience pain and also a feeling of bubbles popping above the navel area?,Specific Health Conditions and Diseases
What effects can I expect from velcade (bortezomib) chemotherapy?,Treatment Details
What if delayed ejaculation is due to psycological reason? Is there any treatment,Treatment Details
What is a functional heart murmur and what precautions need to be taken with one?,Diagnosis Explanation
What is the definition or description of: hyphema?,Specific Health Conditions and Diseases
What is the life expectancy for someone with mixed connective tissue disease?,Specific Health Conditions and Diseases
What is the prognosis and best treatment of DVT with pe?,Treatment Details
What is this rare disease called porphyria?,Specific Health Conditions and Diseases
What kind of diseases or isorders could cause both symptoms of hypothyroidism and juvenile idiopathic arthritis? Or is one a complication of the other,Specific Health Conditions and Diseases
What might cause a slightly dilated common bile duct when all of the other organs look good?,Diagnosis Explanation
What treatment do you suggest me to treat endometrium and ovarian cyst?,Treatment Details
When after a flight can deep vein thrombosis occur?,Preventive Medicine
When do you need to seek medical help with MRSA it's red swollen and hurt been kinda sleepy lately and nausea I'm a diabetic sugar been high?,Specific Health Conditions and Diseases
"When I eat food my throat tightens badly, seemingly from being twisted by a motility disorder. I also get chain spasms and chest pain. No acid reflux.",Specific Health Conditions and Diseases
When is it necessary to drink salt water?,Lifestyle and Health
Whether cooking in coconut  oil add  or affect the cholesterol  and triglyceride levels?,Lifestyle and Health
Which body parts can be donated after you die?,Preventive Medicine
Why is it every time I eat my upper stomach above my belly button is always bloated and full?? Then eventually I will release gas and it stinks mostly,Specific Health Conditions and Diseases
Why should I participation in an MS clinical trial?,Treatment Details
Would 176 RA IgM factor be considered a low positive for rheumatoid factor. What would be considered a positive level. My ccp level is normal.,Diagnosis Explanation
"3wks postop GB removal.very nauseous, pain, and headache.getting an ultrasound tomorrow to check for fluids.could this be the cause?",Treatment Details
A friend and i were fooling around  one night and we are both pretty sure the only thing we did was oral sex...Is there any way i could be pregnant?,Specific Health Conditions and Diseases
Are fabric softener allergies immediate or can they appear a few months after using the softener?,Specific Health Conditions and Diseases
Are there blood test or ultra sounds to see if u have globus pharyngeus? Have what feels like a lump in throat directly under chin to the right.,Diagnosis Explanation
At times it stings/strikes me inside my head? Is it cause of sleep or cold or something else?,Specific Health Conditions and Diseases
Can a man with impotence or erectile dysfunction ejaculate during sleep and have nocturnal emissions?,Specific Health Conditions and Diseases
Can anyone heal from solar maculopathy?,Treatment Details
Can gabapentin work for headaches caused by trimethoprim. I have started taking 100mg gabapentin daily for 4 days and trimethoprim 200mg twice a day.,Medication Information
Can having a milk allergy cause circles to form under the eyes?,Specific Health Conditions and Diseases
Can weightlifting lower your immune system? Started yesterday for the 1st time in 7 months and the next day got a cold sore on lip,Lifestyle and Health
Can you give me suggestions on good abdominal workout?,Lifestyle and Health
Can you use emla (lidocaine and prilocaine) cream during the tattoo process?,Medication Information
Could you   get bird flu from a bird flying into your house?,Specific Health Conditions and Diseases
"Daily meth use for about 6-7 months. Best way to gain back weight, muscle and fat?",Lifestyle and Health
"Dizziness and light headed, what can cause this?",Specific Health Conditions and Diseases
"Doctor,  what is the average sperm volume of men in ml ?My husband's is 2ml.Is it too low volume?What is the average?",Specific Health Conditions and Diseases
Do diuretics take away your appetite and make you feel unsteady when you walk or stand up?,Medication Information
Do doctors have to do a biopsy to see if I have vaginal eczema or just a pelvic exam?,Diagnosis Explanation
Does muscle tenseness from antipsychotics go away after they are stopped? Do all other side effects go away or is the brain rewired retaining effects,Medication Information
"Effect of healthy food and junk foods, and what are those nutritious food,? . And impact of junk food, thank u",Lifestyle and Health
Excessive hair growth for a female? How much is too much?,Specific Health Conditions and Diseases
Feeling naseous a week before my period and on bc normal?,General Health Information
"For the past few months, around the same time every month I get moody, irritable, bloated, fatigue cramps. These symptoms go on for about a week?",Specific Health Conditions and Diseases
Freezing eggs at 24-25 years?,Preventive Medicine
Has anyone studied the positives or negatives of spanking?,General Health Information
Help please? I want to know what are side effects of of taking tesboosters at age 16?,Medication Information
Hey my ferritin level is 14.8 ng/ml ... do I need to take iron supplements ?I look pale and my MCV level is 84.4 ?,Medication Information
"Hi docs, is it true that people are born with both male and female parts?",Specific Health Conditions and Diseases
Hi doctors I am taking citalopram tablets 20 mg and having cold legs all the time any other medicines similar to citalopram side effect is worry me?,Medication Information
Hi im 18 and I would like to know what I would use or take to get taller?,Lifestyle and Health
"Hi.I went to cardiologist,did a ECG that shows st-t changes,did echocardiography and my heart its good but see some interruption. That's Bad? 27 years",Diagnosis Explanation
How can I deal with really bad morning sickness?,Treatment Details
How can I get my eye to get better?,Treatment Details
"How can I get rid of a runny nose, itchy eyes, nasal congestion and frequent sneezing?",Treatment Details
How can I make my inverted nipples point out?,Treatment Details
How can I stop pain from shaving my face?,Lifestyle and Health
How do I get over my family issues before leaving for college?,Lifestyle and Health
How high does a cooking temperature have to be to kill creutzfeldt-jakob disease?,Preventive Medicine
How likely is a dermoid cyst going to be cancerous? Just had one removed,Specific Health Conditions and Diseases
How long does acute bronchitis last in kids?,Specific Health Conditions and Diseases
"How much sleep shoulda 13 yr old girl get a night?Shes very active&is trying to get a flatter stomach.She weighs 84lbs&is 4' 11""",Lifestyle and Health
How to take care of relapse of pulmonary edema?,Treatment Details
I am having a dull pain at my esophagus. Been burping a lot too. Feel slightly better if I take omeporazale. What should I do?,Specific Health Conditions and Diseases
"I am struggling to gain one pound, do I have some kind of genetic disorder?",General Health Information
"I can only go between 1-4 hours without using the bathroom. Is there any way I can get it to hold more, what to do?",Lifestyle and Health
"If I have an astigmatism , could that be causing daily headaches? I do not wear glasses but i work on a p.C. All day and a lot of bright lighting.",Specific Health Conditions and Diseases
If i suffer the side effects of the morning after pill should I assume they worked ?,Medication Information
"If u have had giardia and had it treated, but your liver enzymes rose what could that be a indication of?",Diagnosis Explanation
I had mucus in my stools and on own for 3 weeks and then i suddenly got sickness and diaherrea with fever and now back to mucus when wipe does it link?,Specific Health Conditions and Diseases
"I have a positive ANA 1:160 Homo pattern & RNP of. 3. Joint pain, limb numbness, skin indents stay for hours, bruising. No diagnosis. More testing?",Diagnosis Explanation
I have a twitching feeling and ocasional pain that comes and goes in the upper right abdomen right below my right breast what could this be? Few weeks,Specific Health Conditions and Diseases
I have been having problems every time i eat i go poop and it is yellow and runny and my tummy feels weird in the middle it has I have diabetes,Specific Health Conditions and Diseases
"I have being getting headaches for about 2 weeks, feeling really tired and fainted once which never happened before and loss of  appetite. what's wrong?",Diagnosis Explanation
"I have endless heartburns through the day and it's making me feel weak daily, While at the same time ruining my appetite. Any ideas? Thank you",Specific Health Conditions and Diseases
"I have flu. I have no history of heart deceases. My heart rate is a bit higher as normal. Is it normal during flu, or is this a concern?",Specific Health Conditions and Diseases
I hit my forehead against the edge of the microwave. Should i get it checked out?,Specific Health Conditions and Diseases
I hurt my foot somehow but I don't know what is wrong with it. What do I do?,Diagnosis Explanation
I'm bleeding from penis for no reason. What could this be?,Specific Health Conditions and Diseases
"I'm having genital herpes outbreak, usuallly I take acyclovior. But pharm told me it might affect my ulcer. Any home remedies I can do to dry this up?!",Specific Health Conditions and Diseases
"I'm having reoccuring eye pain and redness, what could be causes?",Specific Health Conditions and Diseases
I'm having sulfur burps all day 3-4 times a week no gall bladder. I eat healthy. What could be causing it ?,Specific Health Conditions and Diseases
I'm so sick of getting so many pimples! what can I do?,Lifestyle and Health
I m using dr dnp what are the side effects it?,Medication Information
I recently had sex with my husband on my period and he ejaculated inside me and now I have been having painful cramping in my lower back and stomach.?,Specific Health Conditions and Diseases
Is it necessary to get the h1n1 or h5n1 flu shot?,Preventive Medicine
I started my period on sunday a little but on monday stoped I have a dot. Today is my 7day im feeling like I am still having my period but only dots.,Specific Health Conditions and Diseases
Is there any side effects or bad effect to the body drinking whey protein?,Medication Information
"I think I have what they call bipolar, and i can't afford therapy. What can I do?",Specific Health Conditions and Diseases
I've had a recurring yeast infection for years. How can I prevent them from coming back?,Preventive Medicine
I've had eczema on my face since october for the 1st time. Could it be from the makeup brush cleaner made of alcohol that I'm using or my foundation?,Specific Health Conditions and Diseases
I was told i have serve hypothyroidism now my handskeep feeling like they are asleep my feet hurt really bad and have dry skin on feet is it thyroid?,Specific Health Conditions and Diseases
I woke up with eyes crusted shut. What should I do it really hurts?,Specific Health Conditions and Diseases
Just found out mother-in-law may have tuberculosis after an x-ray. She held our 9-week old baby last week. Should we be worried?,Specific Health Conditions and Diseases
"My 16 months son has ethyl malonic aciduria, which kind of fats that harm his health (saturated or monoun saturated fat) ?",Specific Health Conditions and Diseases
My almost 3 month old has been crying during his feedings. Almost every feeding time he cries.,Specific Health Conditions and Diseases
"My fasting sugar was 136 or 7.5.  This is high.  So,  is this the reason I get vomitish every morning? Thanks",Specific Health Conditions and Diseases
My left testicle is lower and horizontal position while my right testicle is higher and vertical position. Normal?,Specific Health Conditions and Diseases
My legs become numb to the point where I can not walk. It happens sometimes when I move quickly or carrie something very heavy. What can this be?,Specific Health Conditions and Diseases
"Need expert help. I am thinking of using peppermint oil capsules to calm my ibs, is this a bad idea?",Medication Information
"One week ago tonight I threw up several times, no diarrhea or stomach cramps. Slept for the rest of the next day. Still no energy!!! Appetite is back.",Specific Health Conditions and Diseases
Past couple days my eyelids are twitching. What may be the cause? Just slight spasm.,Specific Health Conditions and Diseases
"People who have had liver transplant due to cirrhosis (latest stage), do they always develop an hepatic aneurysm?",Specific Health Conditions and Diseases
"Please help, 27 w/ ED for the past year 1/2 started with problems once in a while to now can't stay erect while masturbating. Will cialis stop working?",Treatment Details
Please suggest best antibiotics for higher wcb and crp. It is due to gall bladder surgery and removed from my daughter?,Medication Information
Please tell me what can they do about acne holes on face?,Treatment Details
"Purple fluid filled sack on scalp grew over several months, popped when squeezed. Resembled skin tag. Concerned of cancer. Nothing for doc to check?",Specific Health Conditions and Diseases
Rcently prescribed Lumigan 0.1% IOP concern about burning in eyes called the Doc and Doc does not take calls. What to do? Next appt in a week?,Medication Information
"Regarding my last question. Everytime i take oxycodone, i become very sensitive to sound. A person talking is too loud. Even no migraine. Known se?",Medication Information
Severe gastroparesis throw up everyday. Mostly liquid diet. How do I ensure I'm getting theb right nutrients to be as healthy as possible?,Lifestyle and Health
Strange or scary Ambien (zolpidem) side effects?,Medication Information
"Ultrasound says liver measures 15.7 CM in length, is that normal size?",Diagnosis Explanation
Walked somewhere yesterday in skinny jeans. Left testicle started hurting. Hurts when I touch it. Never happened before. I am very healthy.,Specific Health Conditions and Diseases
"Was treated for chlamydia with doxycyline at 2 months after possible exposure, could I have asymptomatic PID and not know it from the infection?",Treatment Details
Was writing and my fingers got all weird like Charlie horse and tendons tight. What should I do?,Specific Health Conditions and Diseases
Watery eyes been usimg restasis for a month I've tried refresh which caused discomfort what eye drops do you reccomend to stop the eyes from watering ?,Medication Information
What are side effects of cyclizine 50mg?,Medication Information
What are some good lumbar strain exercises?,Treatment Details
What are the elements of a good exercise routine in pregnancy?,Lifestyle and Health
What are the side effects of zoloft (sertraline)?,Medication Information
What are the signs of having frostbite?,Specific Health Conditions and Diseases
What can I do about adrenal gland tumour and what are the symptoms?,Specific Health Conditions and Diseases
What can I do to naturally abort a baby? I live in the philippines and abortion is illegal here. Any vitamins that can probably drop the baby? Help me,Specific Health Conditions and Diseases
What can I give my 13 teen year old sore throat headache?,Medication Information
What does EKG saying t wave flat mean?,Diagnosis Explanation
What does it mean if I have only a partial tear of my pcl?,Diagnosis Explanation
What does it mean if some people who have gilbert's syndrome develop anemia?,Specific Health Conditions and Diseases
What does lymph node with echo -gene center means? What can cause Swolling of these type of lymph nodes.,Diagnosis Explanation
What do we do if my bf has been w someone w hpv? We haven't had sex yet. I've had the 3 gardasil shot,Preventive Medicine
What do you suggest if I'm 27 I have the problem of sperm ejaculation as soon as I insert my penis. How to control it?,Treatment Details
"What do you suggest if my husband has been prescribed metoprolol to reduce his heartrate, which was running over 100 bpm.?",Medication Information
What inanimate objects make you calm when you see them?,Lifestyle and Health
What is a?Multi cystic pancreas?,Specific Health Conditions and Diseases
What is an anti-nuclear antibody test for in immunology?,Diagnosis Explanation
What is micturition?,Diagnosis Explanation
What is ovulation and when will female ovulates?,Specific Health Conditions and Diseases
What is the bone spur surgery recovery time.?,Treatment Details
What is the difference between a gastric sleeve and the Roux-en-Y surgery?,Treatment Details
What is the recovery for endoscopic sinus surgery and septoplasty like?,Treatment Details
What tips do you have for designing an effective workout / nutrition plan?,Lifestyle and Health
What to do if I am worried about my 2 year old son having a holter monitor test. I don't know what to expect.?,Treatment Details
What to do if I cannot stop eating fatty foods. How can I stop?,Lifestyle and Health
What to do if I have problems regarding my fistulectomy?,Treatment Details
What type of daily vitamin or mineral should a normally healthy 23 year old male be taking?,Preventive Medicine
"What would cause T3 (liothyronine) levels to be abnormal,  but tsh/t4 are normal? I'm not pregnant.",Diagnosis Explanation
When does a doctor use a large needle to stitch with?,Treatment Details
When i close my eyes and so tired (trying to sleep) suddenly random thoughts come to my mind like a very fast dream.should i worry?,Lifestyle and Health
When I have my shoes on or off i feel like sand is under the bottom of my feet along with s tingling sensation?,Specific Health Conditions and Diseases
"When I was thinking about something that made me feel depressed and stressed out, I felt my heart flutter, what does this mean?",Specific Health Conditions and Diseases
Which is better for children to boost their immunity after illness 7seas tablets or minadex multivitamin syrup?,Medication Information
Why do I cough when I eat salt or salty foods?,Specific Health Conditions and Diseases
Why do women with preeclampsia have nausea and abdominal pain?,Specific Health Conditions and Diseases
Why is it that some nutrients bypass the liver entirely?,Lifestyle and Health
Why is it whenever I eat meat I get an upset stomach and a lot of bad gas? Is this an intolerance? Are our bodies really not meant to digest meat?,Lifestyle and Health
Why people with runny nose tend to have cracked lips?,Lifestyle and Health
Will having lipomas in lower back affect an epidural or spinal block given before having a csection?,Specific Health Conditions and Diseases
Would you say it is scientifically possible to get the flu from the flu shot?,Medication Information
"21 f on birth control, period started late, period lighter than normal, pain in my belly that's not normal, been tired a lot more lately. what wrong?",Specific Health Conditions and Diseases
"26yo F. HIDA scan showed 23% function of gallbladder, no stones. Have had pain for 3 years- should it be removed?",Treatment Details
After having sex once I don't feel like doing it with her again why is that so ?,Lifestyle and Health
Anal fissure has been bleeding a lot for a week now. Started steroid cream treatment one day ago. How long will it continue to bleed a lot?,Treatment Details
Any effective home treatment for allergies that I can do?,Preventive Medicine
Are there good OTC remedies for labyrinthitis?,Medication Information
Both of we are carrier and our first baby has hb e beta thall. We are interested about our 2nd baby.Is there any genetic treatment? Please advice...,Treatment Details
Can AST and ALT levvels rise due to a root canal prroceddure?,Treatment Details
Can I take B12 shots if I have high blood pressure? Thanks in advance.,Medication Information
Can I take my antibiotic an hour early its penicillin 500mg 1 tablet every 12 hours?,Medication Information
"Can people be born without color blindness then get when they get older. I know that people with good vision can go bad, is it the same thing?",Specific Health Conditions and Diseases
Can u test positive for hsv1 and 2? What does the blood test prove if u never had a symptom?,Specific Health Conditions and Diseases
Could a varicoselectomy or an inguinal hernia cause epididymitis?,Treatment Details
Could brushing your teeth too hard cause fatal oral diseases?,Specific Health Conditions and Diseases
"Could you write me a doctor's certificate so I can resit my music exam? Jammed my finger, blood blister formed and got so swollen that nail lifted off",Treatment Details
"Dads HbA1C was 6.2 at 21/1/2015, he made diabetic diet: HbA1C was 6.0 at 4/4/2015, can he now check HbA1C again?",Treatment Details
Does boiling a hot dog reduce its sodium?,Lifestyle and Health
Does calcification in thyroid nodules mean that you have cancer?,Diagnosis Explanation
Does taking 5 htp help reduce the adrenaline hormone in the adrenal glands?,Medication Information
Do gmos have any effects on type one diabetes?,Specific Health Conditions and Diseases
Do people with testicular cancer feel the pain come and go?,Specific Health Conditions and Diseases
Foods to treat low alkaline phosphatase?,Lifestyle and Health
Had a cyst on my bottom. MRSA. Doc gave me doxycycline for 10 days. Cyst drained & doesn't hurt. Finished meds. Is it out of my system? Do I go back?,Treatment Details
"Have spells where I feel like my foot is going an inch lower than the floor, slightly dizzy but not horrible. Also have tinnitus for a yr. What is it?",Specific Health Conditions and Diseases
"Hi, 3.71 x 4.35cm mixed echogenic mass in fundal part of uterus implies what pls?",Diagnosis Explanation
"Hi there are you able to help.me please Dr. Eric Kelts? I think I have a trapped nerve and its traveling from the bottom of my back down my legs, which I think may be siataca I'm not quite sure but I'm in agony. Cant move at all with my back! I struggled",Specific Health Conditions and Diseases
How are batteries chosen to be put in pacemakers?,Treatment Details
"How can I lose weight? I'm a 17 years old girl, weight: 170 lbs and height: about 6 feet",Lifestyle and Health
How do I 'force' grow a beard in a certain area? I want to make a 'goatee' style but all I have is chin hairs and small beard. Is minodoxil good?,Lifestyle and Health
How do I talk to my doctor about incontinence?,Treatment Details
How do you contact worms from pets? I saw a few white things in my b.M. But not everytime. How can I get rid of them? What are the symptoms?,Specific Health Conditions and Diseases
How do you safely remove a swimmer with a possible head injury from the water?,Treatment Details
How harmful is a yeast infection if not treated?,Specific Health Conditions and Diseases
How long after a aneurysm surgery do you have to stay off work?,Treatment Details
How long does the implantation bleeding last? Is is as heavy as normal periods?,Treatment Details
How often should I get my custom  orthotics  evaluated and replaced & have Flat feet/ 1fallen arch. Advice  for 5K run/walker to avoid injury?,Preventive Medicine
"How should I increase my weight? I am 20 years old having 62 kg weight and my height is 5""6'",Lifestyle and Health
How to improve sexual energy.?,Lifestyle and Health
"How to loose bellyfat? please provide specifics, i..e type of exercise, duration of exercise, etc.",Lifestyle and Health
How to make my body fit? I am always facing problem with my weight-gain. what should I do?,Lifestyle and Health
I am a pediatric Hodgkin's lymphoma survivor. I have developed horizontal double vision. I have an ophthalmology appt. How worried should I be?,Specific Health Conditions and Diseases
I am thinking of getting a tattoo currently I am on the following medication. Effient 1 a day temsig 50mg 1/2 day ramipril 2.5 1 a day aspirin 1/day is it advisable to get a tattoo as I have 2 stents and have had a heart attack in the last 18 months?,Medication Information
I do unprotected sex with a prostitute after 28 days I go for hiv duo test the result is non reactive 0.07 is it conclusive?,Specific Health Conditions and Diseases
If a mother has celiac should the daughter be tested?,Preventive Medicine
I feel like my food doesn't digest & I feel like I have to constantly throw up?,Specific Health Conditions and Diseases
I had intercourse today and I've been bleeding kind of heavily since then and I'm not on my period. But my period isn't regular either. It didn't pain?,Specific Health Conditions and Diseases
I have a pea sized bump on top of my wrist. It's kinda hard but also soft when i touch it. It moves with my tendon. Midly irritating.,Specific Health Conditions and Diseases
I Have a tiny lump on the upper left side of my back. I have had it for about 2 months now. It is like a little grey spot. So please help.?,Specific Health Conditions and Diseases
"I HAVE DIMPLING ON MY NIPPLE, CURRENTLY HAVE AN IRREVERSABLE TUBAL HAD MY LAST CHILD ALMOST 6 YRS AGO, WITH A COUPLE OF PAINLESS LUMPS ALONG BREAST UP?",Specific Health Conditions and Diseases
I have headache please suggest?,Specific Health Conditions and Diseases
"I have mild pressure/tightness on forehead & face all the time, for 8 years. I feel better only when I bow my head looking on floor. What could it be?",Specific Health Conditions and Diseases
I have very high prolactine because of a puritary tumor and I'm on antidepressants too. Is there some correlation?,Diagnosis Explanation
I hit my head on the car door and have a small bump. 24 hours later I have a bad headache. Could I have a concussion?,Diagnosis Explanation
I hurt my knee and heard a pop and now it hurts to go up and down stairs and hurts when walking on it or to move it certain ways should I see my docto?,Specific Health Conditions and Diseases
"I just started my period 2day & just started gettin a real bad headache, sore throat, body aches & chills. Could it be from my period r a cold?",Specific Health Conditions and Diseases
"I'm 19, doctor checked cervix, developed abnormal cells, maybe HPV warts, getting more tests, been with boyfriend 2 years can I still have unprotected sex?",Specific Health Conditions and Diseases
I'm 24. My cholesterol is 354 and am class 3 obesity and am now working with a dietician and my doctor. I also have osteoarthritis. What more can I do?,Lifestyle and Health
"I'm 27, female. I use hair removing lotion for pubic hair. What can I use to prevent or treat the itching pimples of when hair grows back?",Treatment Details
I'm 48 years old and I dont have frequent erections but I do take blood pressure meds plus cialis is there any help for me or is it all in my head?,Specific Health Conditions and Diseases
I'm 5-9 160 pounds how do I gain weight fast and healthy in 1 month I want to gain 20pounds or more?,Lifestyle and Health
I'm a young MTF and I want to start hormone replacement therapy. Is aldactone (spironolactone) 100-mg/day a good choice?,Medication Information
I'm having bad headaches with cold sweats neck pain and nausae and pain behind the eyes,Specific Health Conditions and Diseases
I'm having way too many heart palpitations (heart thumps really hard every 2 minutes) I'm only 22 years old. Never had a history of heart problems.,Specific Health Conditions and Diseases
"Im not sure if im pregnant. Took 2 test one + with very faint blue line other - .. Fatigue, severe headaches. Nausea.. Dizziness. But painful help?",Specific Health Conditions and Diseases
I normally wash my hair 1 * week because it's very dry I take isotretinoin. Will have washing it in 9 days instead of 7 make it fallout more?!,Lifestyle and Health
Is a four week negative HIV antibody test / negative PCR test reliable?,Diagnosis Explanation
Is atherosclerosis hereditary?,Specific Health Conditions and Diseases
Is blood pressure of 124/66 OK? My blood pressure is normally 110 /74. I'm feeling edgy and wired right now at 2 am.,General Health Information
"I shared food with people I don't know too well, eating from same plate. Have a canker sore. Chances of contracting oral/genital herpes?",Specific Health Conditions and Diseases
Is it better to take aspirin at night or morning to prevent heart attack?,Preventive Medicine
Is it normal for the stomach to increase in size after receiving cpr?,Treatment Details
Is it normal to get a cystocele on first pregnancy at 27w? Not overweight.  Stand and sit for long periods of time. Is there harm to baby?,Specific Health Conditions and Diseases
Is it safe to soak my earrings in rubbing alcohol (ethyl 70%) everyday before putting them in & putting them in right after?,Medication Information
Is mental illness like bipolar hereditary?,Specific Health Conditions and Diseases
Is rapid /hard heartbeat normal followed by adrenaline rush even if in bed seems random its happening more often now its been happening for years,Specific Health Conditions and Diseases
Is there a cure for yeast infections because my blood is so thin I have risk for internal bleeding?,Treatment Details
Is there an effective way to determine if you caught a venerial disease?,Specific Health Conditions and Diseases
"Is this still in healing process or it could be a scar. What should I do? Do I need an check up appointment or I have to wait mo I had treated age spots 2 1/2 weeks ago with liquid nitrogen. The scabbing fell off in 5 days. Now, the treated spots turned",Treatment Details
I think I have a bunion that is very painful and it's too late for me to go to a store. Are there any common household items I can use to help for now?,Specific Health Conditions and Diseases
Its 3am and alot is on my mind. Im discouraged because IV been in college for a yr and have completed only half of what most students have done. My dr?,Lifestyle and Health
It's hard to work out in the winter. I like running outside but too cold and too much snow. Any tips and how to lose weight in the winter time?,Lifestyle and Health
I've been getting swollen red hands mostly in the morning. I noticed I sleep hard on my hands is this something to be worried about?,Specific Health Conditions and Diseases
I was taking 20mg Prozac (fluoxetine) and increased to 30mg daily this month . Should i take all in the morning or or divide at breakfast and lunch. Eventually i plan to move to 40mg daily . When should I increase?,Medication Information
"I wear glasses, sometimes I don't wear them, either way my vision at night time is wrose off then day time, does that mean anything?",Specific Health Conditions and Diseases
Low pottasuim ? What number do you have to be? An can I take over-the-counter medicine?,Medication Information
May I use a tampon one week after a medical abortion? I am finding conflicting information online....,Treatment Details
Me and my wife are trying for baby from past few months but getting negative?,Preventive Medicine
Might it happen that a severe infection plus poor nutrition cause hair loss?,Specific Health Conditions and Diseases
"My 5 yr. Old daughter had a urine test last week and they found a trace of blood, calcium is 2.4 and creatinine is 3.3, should I be concerned?",Diagnosis Explanation
My 7 mth old son fell off the back if a couch and hit his head on the concrete floor. How should I treat the swelling? When will it go down?,Treatment Details
My back hurts on my right side?,Specific Health Conditions and Diseases
"My bm aren't solid but not quite loose. Looks more like for lack of better word ""shredded"" the why is this?",Specific Health Conditions and Diseases
My eyebrows and hair fallout a lot and my eyebrows don't grow back atall or grow really fast. I even used rogaine (minoxidil) to grow my eyebrows &didn't work.,Specific Health Conditions and Diseases
My eyesight is bad in one eye its -0.5 and in other -0.75 how to improve my eye to the normal eyesight without specs ?,Treatment Details
My heart rate is normal during the day but gets faster when ever i sleep why?,Specific Health Conditions and Diseases
My moms uncle and his daughter both had leukemia at 65 and 54 years old. He had aml and she had apl. What would cause this? Genetic?,Diagnosis Explanation
"Occasionally a blood vessel in my lower leg ruptures & it stings, a lump forms that is very painful to the touch & appearance of a bruise.?",Specific Health Conditions and Diseases
"On the top right side of my head, I have this random pulsing feeling? Like someone is tapping their finger on this one small spot. It's not painful.",Specific Health Conditions and Diseases
Painful rash on right buttock spreading. Causing lymph soreness on groin and overall soreness on right side and leg.,Specific Health Conditions and Diseases
Penis extender or jelqing? Which is better for enlargement?,Treatment Details
Planning a healthful pregnancy with diabetes! What do I need to do and when?,Preventive Medicine
Please tell me what is it called when your back locks up?,Specific Health Conditions and Diseases
Severe migraine for a week and pain deep in ears too. What causes the deep ear pain within migraines?,Specific Health Conditions and Diseases
Should I ask to be put on a Statin at my checkup tomorrow? My cholesterol was very high and I'm sure it still is.,Medication Information
Should i get a flu vaccine or are there negative side effects?,Preventive Medicine
Should I remove a bullet if it's still inside?,Treatment Details
Tinnitus 35 yrs. Quiet till breakdown May.Squealing. Up and down.ENT dr thinks stress is cause.Good sign noises vary so.Treatstress and it will recede?,Specific Health Conditions and Diseases
"Was recently diagnosed with crohn's, thinking about switching to a vegetarian lifestyle. Is it possible since raw veg/salad are a already a problem?",Lifestyle and Health
Wdoes mecca root pikls make ur buttocks grow bigger and if yes why did i loose inches of my hips n butt when i started taking the pills?,Lifestyle and Health
What are considered the safest prescription pills for high blood pressure/hypertension?,Medication Information
What are some of the risk factors for getting High blood pressure?,Preventive Medicine
What bodily factors affect heart rate?,Lifestyle and Health
What can you do if you can't get the contact lens in at all?,Treatment Details
"What causes a high red blood cell count it's at 19 and ESR is high, TSH 1.25 never been so low anti thyroid at 9 was 900 prev?",Diagnosis Explanation
"What causes underdeveloped breasts in a woman with pcos? Current biochem abnorm are high LH vit d defic, sometimes low estro and prog. Testos normal!",Diagnosis Explanation
What could increased levels of oestrogen do to me?,Specific Health Conditions and Diseases
What do I need to do after trying to conceive for like 8 month now and there is no good result for second child?,Preventive Medicine
"What do you suggest if my son has cerebral palsy, school does not have room for him or lvn for his meds?",Specific Health Conditions and Diseases
What do you suggest if my son was just diagnosed with a heart murmur. he just turned 3 and I thought murmurs were diagnosed at birth?,Diagnosis Explanation
What foods should be avoided if you have genital herpes?,Specific Health Conditions and Diseases
"What happens if HPV goes away on its own, can it still be spread?",Specific Health Conditions and Diseases
What is alpha 1 antitrypsin deficiency and what are it's effects on the body?,Specific Health Conditions and Diseases
What is overdose magnesium to take by mouth? I took 200 mg Is this too much?,Medication Information
